id,country,city,age,income
85,Brazil,Sao Paulo,57,42961.59
86,France,Paris,65,52220.0
87,USA,New York,62,23866.48
88,Brazil,Rio de Janeiro,72,47768.2
89,India,Delhi,46,27046.17
90,India,Delhi,75,31187.92
91,Canada,Montreal,53,49194.47
92,India,Bangalore,19,39384.02
93,Canada,Toronto,58,55084.35
94,USA,Los Angeles,35,75124.3
95,France,Marseille,66,40674.33
96,France,Lyon,25,46028.46
97,France,Marseille,75,59967.66
98,India,Bangalore,32,39951.41
99,USA,New York,58,39269.07
100,India,Mumbai,34,43333.33
101,India,Bangalore,40,63213.21
102,USA,New York,19,23476.78
103,USA,Chicago,23,37287.74
104,USA,Chicago,46,72963.32
105,USA,Los Angeles,44,3512.62
106,France,Paris,54,48089.45
107,Germany,Berlin,66,72949.0
108,Germany,Berlin,51,78649.8
109,USA,Los Angeles,35,61990.33
110,Germany,Munich,59,67577.57
111,Germany,Munich,27,35770.81
112,USA,New York,55,37003.16
113,Germany,Berlin,76,75712.46
114,India,Mumbai,61,46042.39
115,Canada,Vancouver,34,21844.02
116,Canada,Vancouver,76,56276.19
117,USA,Chicago,30,47135.04
118,France,Lyon,69,51216.98
119,USA,Chicago,77,14280.83
120,France,Paris,65,10276.89
121,Canada,Vancouver,59,54538.39
122,USA,New York,44,45453.04
123,Brazil,Sao Paulo,70,43147.06
124,India,Mumbai,19,55857.25
125,Germany,Berlin,51,38316.79
126,France,Lyon,48,46018.39
127,Brazil,Sao Paulo,40,43268.65
128,Germany,Frankfurt,24,63281.69
129,Germany,Munich,55,21816.88
130,USA,New York,50,40289.7
131,Germany,Munich,29,66346.43
132,India,Bangalore,62,37442.91
133,Brazil,Sao Paulo,29,51799.29
134,Germany,Frankfurt,36,75041.61
135,USA,New York,26,52375.87
136,India,Bangalore,27,82107.54
137,Canada,Toronto,34,70998.39
138,Brazil,Rio de Janeiro,67,40225.04
139,Germany,Berlin,57,31039.69
140,USA,Los Angeles,56,40941.23
141,Canada,Toronto,58,55700.81
142,Canada,Toronto,27,55193.9
143,France,Marseille,29,59967.95
144,India,Bangalore,32,36118.95
145,Germany,Frankfurt,48,38325.61
146,USA,New York,32,58378.0
147,France,Paris,45,79863.51
148,India,Mumbai,21,33545.72
149,France,Lyon,53,48913.48
150,Brazil,Rio de Janeiro,72,44602.81
151,India,Mumbai,18,52180.6
152,India,Bangalore,75,32041.52
153,Germany,Frankfurt,61,51321.86
154,India,Bangalore,74,68311.75
155,France,Paris,51,25640.16
156,India,Bangalore,64,64940.49
157,Germany,Berlin,34,32076.4
158,Germany,Munich,56,53872.14
159,Brazil,Brasilia,55,57332.17
160,France,Lyon,61,55627.64
161,Canada,Montreal,68,44997.81
162,Canada,Toronto,50,59937.36
163,India,Mumbai,77,31141.49
164,Brazil,Sao Paulo,38,63718.61
165,USA,New York,43,43024.5
166,India,Bangalore,63,54829.99
167,Brazil,Rio de Janeiro,53,44728.63
168,France,Paris,22,72981.57
169,France,Marseille,50,56579.54
170,France,Lyon,18,59790.92
171,France,Paris,70,61813.43
172,France,Lyon,23,46385.17
173,Brazil,Sao Paulo,54,54339.1
174,Brazil,Rio de Janeiro,19,52479.27
175,Germany,Munich,74,59673.51
176,Canada,Toronto,70,43315.95
177,France,Marseille,76,39401.43
178,USA,Los Angeles,76,67727.25
179,Brazil,Sao Paulo,22,61800.68
180,USA,Los Angeles,43,37409.65
181,USA,Los Angeles,58,78533.52
182,USA,Chicago,68,41428.8
183,Germany,Munich,70,51779.35
184,Brazil,Rio de Janeiro,64,67530.3
185,USA,New York,30,67387.31
186,France,Paris,29,39418.07
187,India,Bangalore,22,57758.63
188,USA,Los Angeles,19,45346.77
189,Germany,Munich,76,56293.43
190,Brazil,Rio de Janeiro,21,48115.03
191,Germany,Frankfurt,76,43958.64
192,USA,Los Angeles,44,35564.41
193,Brazil,Sao Paulo,67,67777.57
194,India,Bangalore,70,38843.3
195,USA,New York,27,72025.55
196,Germany,Berlin,30,45592.98
197,Canada,Montreal,61,57269.78
198,France,Paris,19,73088.75
199,Germany,Munich,43,43541.12
200,Brazil,Brasilia,32,57077.7
201,USA,New York,63,57410.5
202,France,Lyon,74,40001.39
203,USA,Los Angeles,27,53333.89
204,Brazil,Sao Paulo,39,61171.8
205,USA,Los Angeles,57,75514.23
206,Canada,Montreal,42,43776.5
207,France,Paris,32,55188.14
208,France,Lyon,30,48093.98
209,Brazil,Rio de Janeiro,25,52900.42
210,Canada,Toronto,38,41123.1
211,Germany,Berlin,38,47464.38
212,USA,New York,39,72773.18
213,India,Mumbai,63,51911.43
214,USA,Chicago,50,51141.58
215,USA,New York,62,37214.04
216,Germany,Frankfurt,44,66364.93
217,USA,Chicago,57,62704.41
218,Canada,Toronto,67,51908.93
219,Canada,Montreal,39,78516.86
220,France,Paris,47,42011.09
221,Brazil,Sao Paulo,79,34365.49
222,India,Delhi,26,48576.12
223,USA,New York,62,37291.68
224,USA,Los Angeles,52,53609.97
225,Germany,Frankfurt,35,51097.93
226,Brazil,Rio de Janeiro,59,67293.48
227,Canada,Montreal,22,43164.23
228,India,Mumbai,44,54980.3
229,France,Marseille,74,52778.52
230,Canada,Montreal,23,62488.01
231,Brazil,Sao Paulo,79,33043.76
232,France,Marseille,49,36533.33
233,Germany,Berlin,25,41316.17
234,Germany,Munich,73,33734.72
235,USA,New York,56,59184.95
236,Brazil,Sao Paulo,38,59328.41
237,India,Bangalore,35,66380.96
238,France,Lyon,31,47814.01
239,Canada,Toronto,32,43064.11
240,Brazil,Rio de Janeiro,59,35792.57
241,Brazil,Rio de Janeiro,43,69553.43
242,Germany,Frankfurt,70,46666.3
243,USA,New York,61,39112.48
244,USA,Chicago,49,61256.37
245,France,Paris,56,44911.75
246,Germany,Munich,45,33995.48
247,Brazil,Sao Paulo,77,36989.49
248,India,Mumbai,56,51357.84
249,Germany,Munich,60,33915.29
250,France,Lyon,49,48716.19
251,France,Paris,30,37028.25
252,Germany,Frankfurt,32,35810.16
253,France,Paris,35,42680.77
254,Germany,Munich,56,52389.23
255,Canada,Montreal,23,54792.45
256,Germany,Munich,72,63864.89
257,Germany,Munich,28,38254.17
258,France,Marseille,49,70872.63
259,France,Lyon,57,90814.27
260,USA,Los Angeles,37,43700.8
261,USA,Los Angeles,50,23492.27
262,Canada,Vancouver,57,23876.32
263,USA,Los Angeles,25,42547.79
264,Germany,Munich,68,39588.24
265,France,Lyon,52,50077.08
266,USA,Los Angeles,22,57624.28
267,USA,Los Angeles,79,30708.8
268,Canada,Toronto,52,47427.15
269,Brazil,Sao Paulo,64,42410.31
270,Canada,Vancouver,31,80533.26
271,Germany,Berlin,38,29276.26
272,France,Marseille,64,38617.71
273,Canada,Toronto,41,50502.98
274,USA,Los Angeles,34,38718.57
275,France,Lyon,35,66996.73
276,France,Paris,51,34701.88
277,USA,Los Angeles,29,36261.76
278,Canada,Montreal,33,68290.24
279,USA,Chicago,21,32136.39
280,Brazil,Rio de Janeiro,42,62518.84
281,France,Marseille,51,43211.45
282,India,Bangalore,45,40724.9
283,India,Mumbai,63,42382.34
284,Germany,Frankfurt,28,33191.81
285,USA,New York,30,63605.97
286,USA,Los Angeles,48,52041.01
287,Germany,Berlin,77,63364.44
288,Germany,Munich,42,67645.22
289,Germany,Munich,56,58115.4
290,France,Lyon,27,28208.36
291,Brazil,Rio de Janeiro,41,35460.72
292,USA,Los Angeles,18,62763.71
293,France,Paris,78,50832.56
294,Germany,Munich,70,59755.69
295,USA,Chicago,42,48666.07
296,France,Marseille,45,43554.59
297,Brazil,Rio de Janeiro,53,59774.81
298,France,Marseille,35,24088.63
299,Brazil,Sao Paulo,23,45203.98
300,Germany,Berlin,19,50997.15
301,Brazil,Rio de Janeiro,20,53130.39
302,USA,Los Angeles,63,30582.54
303,Germany,Munich,25,31203.29
304,USA,Chicago,48,44102.73
305,India,Bangalore,65,49058.55
306,Canada,Toronto,36,73325.88
307,Brazil,Brasilia,67,36830.3
308,Canada,Toronto,23,42602.93
309,Canada,Montreal,31,73872.51
310,Brazil,Sao Paulo,20,65961.31
311,Germany,Munich,65,33290.03
312,India,Bangalore,18,60131.7
313,USA,New York,61,62486.05
314,France,Marseille,47,52936.31
315,USA,Los Angeles,63,32402.08
316,France,Paris,36,41067.43
317,USA,Chicago,71,40580.57
318,Brazil,Brasilia,36,57933.64
319,India,Delhi,26,43558.46
320,France,Lyon,24,46028.0
321,Germany,Berlin,63,40970.08
322,USA,Chicago,54,26623.24
323,USA,Chicago,67,88926.45
324,France,Lyon,58,56041.87
325,Germany,Munich,70,72080.2
326,Germany,Berlin,24,33265.92
327,Brazil,Brasilia,26,72780.72
328,Brazil,Brasilia,21,44052.89
329,Brazil,Sao Paulo,42,57954.12
330,Brazil,Sao Paulo,66,64876.25
331,Brazil,Rio de Janeiro,29,72664.16
332,Brazil,Rio de Janeiro,23,49304.31
333,India,Mumbai,35,34934.81
334,Germany,Berlin,57,49778.39
335,Brazil,Brasilia,38,58865.72
336,Germany,Berlin,32,41961.8
337,Germany,Berlin,20,43653.36
338,Canada,Montreal,19,26775.9
339,India,Mumbai,73,35327.52
340,Brazil,Rio de Janeiro,72,56664.48
341,USA,Los Angeles,58,63229.14
342,France,Marseille,57,66526.34
343,USA,New York,76,84139.32
344,India,Delhi,21,72322.45
345,France,Lyon,49,47719.69
346,India,Delhi,19,35964.83
347,Germany,Munich,63,46157.81
348,France,Paris,46,41732.61
349,Germany,Berlin,19,52488.25
350,USA,New York,51,63364.14
351,USA,New York,79,57196.49
352,France,Lyon,44,73639.33
353,France,Marseille,77,55932.89
354,Brazil,Brasilia,71,30866.03
355,India,Delhi,56,41450.12
356,Brazil,Rio de Janeiro,61,56038.63
357,India,Bangalore,55,53430.05
358,Brazil,Brasilia,35,69623.79
359,Germany,Munich,53,50105.57
360,France,Lyon,36,47353.96
361,USA,New York,44,26390.26
362,India,Mumbai,62,37899.16
363,India,Bangalore,37,54631.58
364,USA,Los Angeles,38,53144.81
365,Brazil,Brasilia,40,58923.3
366,India,Mumbai,47,56758.7
367,Germany,Berlin,42,48299.45
368,France,Marseille,48,34974.58
369,USA,New York,44,50008.58
370,France,Lyon,51,49336.32
371,India,Bangalore,25,70577.33
372,India,Delhi,36,69922.8
373,USA,Los Angeles,58,42818.31
374,Germany,Berlin,43,40671.17
375,Canada,Vancouver,45,29694.74
376,USA,Chicago,21,47526.68
377,Canada,Vancouver,48,42886.89
378,Brazil,Rio de Janeiro,33,89109.9
379,Canada,Vancouver,68,33269.31
380,Germany,Munich,27,50878.71
381,Brazil,Rio de Janeiro,55,40357.09
382,Canada,Toronto,65,50369.26
383,Brazil,Brasilia,27,44999.06
384,Canada,Toronto,62,62172.46
385,Germany,Frankfurt,26,56604.77
386,Canada,Montreal,56,61670.98
387,Canada,Montreal,53,38719.95
388,Canada,Montreal,68,66189.55
389,USA,Chicago,75,42774.5
390,USA,Los Angeles,53,28906.29
391,USA,New York,36,47271.64
392,Germany,Berlin,77,51700.48
393,Brazil,Rio de Janeiro,36,31253.88
394,India,Bangalore,29,63103.93
395,Canada,Toronto,79,37832.6
396,Canada,Vancouver,30,37190.63
397,Germany,Munich,42,49999.39
398,Canada,Toronto,53,62859.56
399,USA,New York,42,31762.65
400,India,Bangalore,45,64109.42
401,France,Marseille,59,17609.5
402,Canada,Toronto,70,54960.02
403,USA,Chicago,56,33054.59
404,France,Lyon,47,38021.74
405,India,Bangalore,22,76068.31
406,France,Marseille,34,35177.56
407,USA,Los Angeles,35,49156.35
408,Brazil,Brasilia,60,33999.33
409,Brazil,Rio de Janeiro,64,61537.83
410,France,Marseille,38,56134.14
411,Germany,Berlin,39,58247.03
412,France,Marseille,56,66963.04
413,Canada,Toronto,67,44932.85
414,Canada,Toronto,75,66117.61
415,Brazil,Sao Paulo,74,72348.59
416,Germany,Berlin,23,54266.68
417,USA,New York,67,33405.75
418,Canada,Vancouver,33,31925.63
419,Brazil,Rio de Janeiro,19,56634.1
420,India,Delhi,68,33396.13
421,Brazil,Sao Paulo,18,29849.05
422,Canada,Montreal,74,63256.13
423,Canada,Vancouver,47,43118.04
424,Brazil,Brasilia,75,86291.0
425,USA,Chicago,60,40138.01
426,France,Paris,69,42539.62
427,Canada,Toronto,54,55388.18
428,Brazil,Sao Paulo,65,53068.48
429,Brazil,Rio de Janeiro,40,48737.22
430,Germany,Berlin,18,48380.55
431,France,Lyon,36,98642.48
432,India,Delhi,63,74911.56
433,USA,Los Angeles,20,62652.86
434,India,Delhi,19,31618.7
435,France,Paris,73,48891.34
436,France,Lyon,54,59908.16
437,France,Paris,34,61223.29
438,India,Mumbai,45,69164.11
439,France,Lyon,35,40382.71
440,Brazil,Sao Paulo,50,49421.96
441,India,Bangalore,32,38674.78
442,France,Paris,39,70021.2
443,Brazil,Sao Paulo,58,60482.41
444,Germany,Munich,44,42389.86
445,France,Lyon,72,53373.17
446,India,Mumbai,54,50754.64
447,Canada,Vancouver,49,36801.02
448,France,Marseille,77,63952.49
449,Canada,Montreal,62,51154.63
450,Brazil,Rio de Janeiro,36,42060.2
451,Germany,Berlin,45,36543.36
452,USA,Chicago,45,62818.95
453,Germany,Frankfurt,73,54022.12
454,France,Paris,27,39580.2
455,Canada,Vancouver,37,42532.47
456,Canada,Montreal,42,50082.8
457,India,Mumbai,38,50957.16
458,Canada,Toronto,31,52880.82
459,India,Bangalore,39,23462.15
460,Brazil,Rio de Janeiro,70,51806.19
461,USA,Chicago,43,31712.74
462,France,Paris,61,71285.06
463,India,Bangalore,28,65643.89
464,USA,Los Angeles,72,67350.96
465,Canada,Toronto,24,13116.6
466,Canada,Vancouver,34,45512.27
467,USA,Chicago,35,48829.89
468,Canada,Montreal,24,58624.95
469,Brazil,Rio de Janeiro,73,63513.12
470,Brazil,Brasilia,37,69269.38
471,USA,Los Angeles,55,15252.42
472,India,Bangalore,28,37980.49
473,India,Delhi,61,50866.98
474,USA,Los Angeles,75,62442.49
475,India,Mumbai,33,62027.18
476,India,Mumbai,68,57123.54
477,Brazil,Rio de Janeiro,72,40444.09
478,India,Bangalore,44,42352.99
479,Germany,Frankfurt,68,40558.27
480,France,Marseille,28,35284.2
481,Canada,Vancouver,33,35074.13
482,Germany,Munich,40,33639.6
483,India,Delhi,77,55039.25
484,Brazil,Rio de Janeiro,76,51864.96
485,USA,New York,29,36098.2
486,India,Delhi,76,24327.76
487,Brazil,Brasilia,57,44460.0
488,France,Paris,20,72200.83
489,India,Bangalore,19,50090.65
490,USA,Los Angeles,77,62001.15
491,Brazil,Sao Paulo,55,52700.69
492,Brazil,Rio de Janeiro,65,49127.98
493,Brazil,Sao Paulo,69,27904.22
494,France,Marseille,41,43899.72
495,India,Delhi,46,41978.18
496,France,Lyon,64,72218.28
497,Canada,Toronto,63,52748.31
498,Canada,Toronto,51,69163.04
499,India,Delhi,37,66911.7
500,France,Paris,35,37311.29
501,USA,Los Angeles,31,50017.39
502,Brazil,Sao Paulo,35,75273.18
503,Brazil,Brasilia,19,58447.69
504,India,Mumbai,18,57540.78
505,Canada,Montreal,37,63703.72
506,Canada,Toronto,51,57205.72
507,Brazil,Sao Paulo,58,58195.33
508,India,Delhi,58,54531.66
509,France,Paris,65,44903.64
510,Canada,Toronto,28,34128.64
511,France,Marseille,44,22145.73
512,Canada,Toronto,40,45059.37
513,Canada,Vancouver,55,56549.07
514,Germany,Frankfurt,61,53578.57
515,Canada,Vancouver,20,59538.67
516,USA,Los Angeles,79,48109.34
517,India,Delhi,29,90830.0
518,India,Delhi,47,80408.86
519,France,Marseille,48,27236.07
520,Canada,Toronto,40,59847.63
521,USA,Los Angeles,18,64531.63
522,France,Marseille,58,18162.23
523,Germany,Munich,37,52503.26
524,France,Paris,71,57753.73
525,France,Marseille,23,49915.67
526,Canada,Montreal,28,55789.61
527,Germany,Berlin,52,51185.95
528,France,Marseille,21,60538.69
529,USA,New York,46,73225.13
530,USA,Chicago,76,61558.73
531,India,Bangalore,27,67629.69
532,Germany,Berlin,68,34138.71
533,Germany,Berlin,46,80411.35
534,India,Bangalore,55,54723.9
535,France,Marseille,18,44141.51
536,Germany,Berlin,57,56230.71
537,USA,New York,25,41830.82
538,USA,Chicago,74,52071.09
539,Canada,Montreal,55,54516.85
540,Germany,Frankfurt,34,39706.49
541,France,Paris,36,52336.76
542,India,Bangalore,50,39485.76
543,India,Delhi,32,39389.17
544,France,Paris,62,34835.8
545,Brazil,Brasilia,48,44394.41
546,Canada,Toronto,38,41739.61
547,India,Delhi,20,57108.17
548,Germany,Berlin,79,66444.57
549,Canada,Montreal,19,59931.3
550,Germany,Munich,52,64587.47
551,USA,Los Angeles,58,63322.52
552,Canada,Montreal,76,36099.56
553,India,Bangalore,33,44989.01
554,Canada,Montreal,73,76691.13
555,Canada,Toronto,62,41830.42
556,Canada,Toronto,68,77808.22
557,Brazil,Sao Paulo,76,43741.89
558,Canada,Montreal,67,19286.68
559,Germany,Frankfurt,38,46290.79
560,USA,New York,29,62698.54
561,France,Lyon,45,74951.78
562,Canada,Toronto,78,27831.37
563,India,Delhi,29,62424.0
564,Canada,Montreal,50,63397.22
565,India,Bangalore,37,69521.04
566,Germany,Berlin,57,9932.03
567,India,Mumbai,66,74852.44
568,France,Marseille,38,56613.53
569,USA,New York,77,56879.71
570,India,Bangalore,69,65584.98
571,India,Bangalore,71,19927.33
572,USA,Los Angeles,56,65224.98
573,France,Paris,58,85623.76
574,Canada,Montreal,66,29470.25
575,India,Mumbai,76,49034.09
576,USA,Los Angeles,59,50561.91
577,Germany,Munich,53,55346.79
578,USA,New York,39,56390.59
579,Germany,Berlin,43,39927.62
580,France,Marseille,24,50599.26
581,Canada,Vancouver,24,76160.47
582,USA,Los Angeles,25,56092.29
583,Brazil,Rio de Janeiro,79,55523.74
584,India,Mumbai,43,39281.78
585,France,Marseille,41,70087.11
586,USA,New York,41,46746.17
587,India,Mumbai,57,19247.95
588,USA,New York,65,56303.02
589,Germany,Frankfurt,29,60604.0
590,USA,New York,64,45517.93
591,Brazil,Rio de Janeiro,25,16517.71
592,USA,Los Angeles,71,33256.95
593,USA,Los Angeles,26,48273.16
594,Brazil,Brasilia,20,44143.63
595,France,Paris,71,56625.07
596,USA,Chicago,38,58875.15
597,Brazil,Sao Paulo,48,43462.67
598,India,Delhi,65,29015.27
599,Germany,Berlin,64,71798.15
600,Germany,Berlin,41,58408.68
601,USA,New York,21,60070.99
602,France,Marseille,37,55762.18
603,France,Paris,78,66461.28
604,India,Mumbai,33,44283.56
605,USA,New York,27,62424.9
606,Germany,Frankfurt,60,60027.52
607,France,Marseille,43,59531.28
608,USA,Chicago,46,32080.61
609,France,Paris,22,52086.85
610,Brazil,Rio de Janeiro,28,55805.82
611,France,Lyon,46,76684.8
612,Germany,Munich,62,51497.74
613,Canada,Toronto,32,66229.52
614,India,Delhi,23,27702.97
615,India,Delhi,65,39252.22
616,Germany,Munich,32,56586.47
617,France,Paris,60,56455.84
618,USA,Los Angeles,37,39249.18
619,France,Lyon,51,64336.28
620,Germany,Berlin,77,47487.2
621,India,Bangalore,77,47137.92
622,France,Lyon,79,48823.68
623,India,Bangalore,19,70079.39
624,USA,Los Angeles,61,66334.3
625,India,Mumbai,33,78247.07
626,India,Bangalore,36,58257.15
627,Canada,Montreal,51,78963.63
628,Canada,Montreal,66,53571.62
629,Brazil,Brasilia,31,48103.56
630,Canada,Vancouver,41,43427.98
631,India,Delhi,45,47356.91
632,Germany,Frankfurt,65,48092.37
633,India,Delhi,49,39714.98
634,Germany,Frankfurt,54,41140.4
635,Germany,Frankfurt,27,59113.2
636,Canada,Toronto,66,42678.38
637,France,Marseille,62,24494.26
638,USA,Los Angeles,65,23731.3
639,Canada,Montreal,26,18539.4
640,Canada,Toronto,41,28737.59
641,France,Lyon,53,32000.98
642,USA,New York,73,35389.66
643,India,Mumbai,46,54290.49
644,Brazil,Brasilia,77,30920.04
645,Brazil,Sao Paulo,46,36208.64
646,India,Mumbai,75,22522.71
647,Canada,Vancouver,65,40093.96
648,USA,New York,40,60858.33
649,Canada,Montreal,44,49649.42
650,Germany,Frankfurt,48,51229.82
651,Canada,Montreal,60,49970.69
652,Canada,Toronto,24,30727.71
653,India,Delhi,66,43868.66
654,India,Bangalore,71,53314.63
655,India,Mumbai,62,64543.35
656,Brazil,Brasilia,21,55454.07
657,Germany,Frankfurt,31,63209.14
658,India,Delhi,59,33706.45
659,USA,Chicago,59,27449.9
660,Brazil,Rio de Janeiro,27,23713.69
661,France,Paris,76,62256.0
662,USA,Chicago,61,28404.53
663,USA,New York,51,65925.58
664,India,Mumbai,43,43310.22
665,France,Paris,40,75031.39
666,France,Marseille,26,43270.72
667,Brazil,Rio de Janeiro,78,44093.05
668,France,Marseille,54,51004.55
669,Germany,Berlin,25,43780.73
670,India,Delhi,70,56271.01
671,France,Paris,31,34329.2
672,Brazil,Rio de Janeiro,24,52795.02
673,Germany,Frankfurt,24,38737.32
674,Canada,Vancouver,26,46916.86
675,Canada,Montreal,20,29372.5
676,Germany,Berlin,31,63084.44
677,Brazil,Rio de Janeiro,34,44662.46
678,Germany,Berlin,67,63741.13
679,India,Delhi,61,38945.61
680,India,Bangalore,39,49864.09
681,Canada,Vancouver,63,63889.09
682,France,Lyon,43,32367.7
683,Brazil,Brasilia,75,36765.1
684,Canada,Montreal,45,62158.55
685,France,Marseille,62,70211.5
686,France,Lyon,31,50243.16
687,India,Mumbai,26,35456.46
688,USA,Los Angeles,68,45231.04
689,USA,Los Angeles,43,79545.27
690,Germany,Berlin,19,29996.67
691,India,Bangalore,28,57919.79
692,France,Lyon,34,51882.82
693,Brazil,Sao Paulo,51,32654.24
694,USA,Chicago,36,45293.29
695,France,Marseille,56,22931.54
696,USA,Los Angeles,35,54323.31
697,USA,Chicago,30,56495.29
698,USA,Chicago,22,29507.49
699,Brazil,Sao Paulo,67,58349.45
700,India,Mumbai,40,40022.99
701,Brazil,Brasilia,75,38664.45
702,Canada,Toronto,73,35369.78
703,France,Marseille,41,59924.39
704,India,Delhi,46,24892.39
705,India,Mumbai,65,26159.76
706,India,Bangalore,64,41117.6
707,India,Bangalore,25,41636.27
708,Brazil,Sao Paulo,43,59399.21
709,India,Mumbai,32,48632.91
710,Germany,Munich,74,48658.6
711,France,Marseille,18,25702.82
712,India,Delhi,45,46544.51
713,France,Lyon,66,13882.05
714,Germany,Munich,79,53561.87
715,Germany,Berlin,64,60159.38
716,France,Lyon,63,38307.05
717,USA,New York,31,55630.07
718,Canada,Toronto,59,43414.31
719,USA,Los Angeles,51,68481.73
720,USA,Los Angeles,76,53420.21
721,Brazil,Brasilia,48,34420.4
722,USA,Los Angeles,23,67564.59
723,India,Bangalore,79,62405.26
724,Brazil,Rio de Janeiro,66,43817.85
725,Brazil,Rio de Janeiro,22,57432.69
726,Germany,Munich,48,57192.91
727,USA,Los Angeles,54,43615.92
728,Germany,Frankfurt,32,50984.71
729,France,Marseille,32,53667.84
730,Canada,Vancouver,69,39865.49
731,Brazil,Rio de Janeiro,60,70198.17
732,France,Marseille,22,20341.8
733,France,Paris,45,60154.12
734,India,Mumbai,50,31724.53
735,Canada,Toronto,28,46347.02
736,France,Marseille,60,26026.92
737,France,Marseille,23,30214.63
738,Canada,Toronto,40,48693.78
739,Canada,Toronto,57,51091.09
740,France,Lyon,19,65897.0
741,Canada,Montreal,32,44013.87
742,France,Marseille,40,59246.08
743,France,Paris,39,49846.08
744,India,Mumbai,26,58668.92
745,USA,Chicago,64,33620.88
746,France,Lyon,57,51332.12
747,Germany,Berlin,47,55598.29
748,Brazil,Brasilia,33,42550.55
749,USA,Chicago,76,55714.05
750,USA,Los Angeles,63,57139.27
751,USA,Los Angeles,64,42232.55
752,India,Mumbai,69,61631.41
753,France,Paris,47,15456.02
754,India,Mumbai,62,21269.48
755,France,Marseille,26,34486.71
756,India,Mumbai,18,54220.25
757,India,Bangalore,76,38675.44
758,Brazil,Sao Paulo,55,29933.76
759,Germany,Munich,25,48671.31
760,India,Delhi,76,51505.56
761,Brazil,Brasilia,76,40451.49
762,Canada,Vancouver,69,32232.89
763,Germany,Frankfurt,35,50106.48
764,India,Bangalore,44,61924.08
765,USA,Los Angeles,35,31786.28
766,Canada,Montreal,49,73714.4
767,Canada,Vancouver,75,41500.62
768,Brazil,Sao Paulo,66,40449.59
769,Canada,Toronto,49,52014.24
770,Germany,Munich,70,51549.38
771,India,Delhi,65,16490.8
772,India,Delhi,62,48377.48
773,USA,Los Angeles,71,58669.98
774,Brazil,Sao Paulo,53,65418.86
775,USA,Chicago,53,48263.56
776,Canada,Montreal,38,44658.64
777,USA,New York,63,60870.22
778,Germany,Frankfurt,49,76876.55
779,India,Mumbai,48,51403.11
780,Canada,Montreal,54,47263.86
